chan_int_num,lambda_ft,omega_ftsec,meanMigrationRate_ftsec,holdThr_ftsec,constProbOrient,slopeProbOrient,pPersistence,daytimeSwimProb,stdMigrationRate_ftsec,pSystem,holdProb
144,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
145,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
146,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
147,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
148,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
149,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
150,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
151,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
152,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
153,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
154,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
155,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
156,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
157,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
158,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
159,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
160,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
161,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
162,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
163,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
164,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
165,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
166,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
167,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
168,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
169,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
170,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
171,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
172,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
173,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
174,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
175,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
176,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
177,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
178,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
179,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
180,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
